uid,url,price,currency,collection,reference_code,life_span
10332,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/santos-de-cartier-%E8%85%95%E8%A1%A8/cartier-santos-dumont-%E8%85%95%E8%A1%A8/wh100351-santos-dumont%E8%85%95%E8%A1%A8.html,249000,CNY,SANTOS,WH100351,Q4 August 2020
10338,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/drive-de-cartier%E8%85%95%E8%A1%A8/wsnm0015-drive-de-cartier%E8%85%95%E8%A1%A8.html,49000,CNY,DRIVE WATCH,WSNM0015,Q4 August 2020
10341,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/drive-de-cartier%E8%85%95%E8%A1%A8/wsnm0009-drive-de-cartier%E8%85%95%E8%A1%A8.html,49000,CNY,DRIVE WATCH,WSNM0009,Q4 August 2020
10342,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/ballon-bleu-de-cartier-%E5%8D%A1%E5%9C%B0%E4%BA%9A%E8%93%9D%E6%B0%94%E7%90%83%E8%85%95%E8%A1%A8/w6920084-ballon-bleu-de-cartier%E5%8D%A1%E5%9C%B0%E4%BA%9A%E8%93%9D%E6%B0%94%E7%90%83%E8%85%95%E8%A1%A8.html,39300,CNY,BALLON BLEU,W6920084,Q4 August 2020
10356,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/ballon-bleu-de-cartier-%E5%8D%A1%E5%9C%B0%E4%BA%9A%E8%93%9D%E6%B0%94%E7%90%83%E8%85%95%E8%A1%A8/we9008z3-ballon-bleu-de-cartier%E5%8D%A1%E5%9C%B0%E4%BA%9A%E8%93%9D%E6%B0%94%E7%90%83%E8%85%95%E8%A1%A8.html,433800,CNY,BALLON BLEU,WE9008Z3,Q4 August 2020
10360,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/ballon-bleu-de-cartier-%E5%8D%A1%E5%9C%B0%E4%BA%9A%E8%93%9D%E6%B0%94%E7%90%83%E8%85%95%E8%A1%A8/we902052-ballon-bleu-de-cartier%E5%8D%A1%E5%9C%B0%E4%BA%9A%E8%93%9D%E6%B0%94%E7%90%83%E8%85%95%E8%A1%A8.html,77000,CNY,BALLON BLEU WATCH,WE902052,Q4 August 2020
10362,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/ronde-de-cartier-%E8%85%95%E8%A1%A8/cartier-ronde-solo-%E8%85%95%E8%A1%A8/w6701009-ronde-solo-de-cartier%E8%85%95%E8%A1%A8.html,75000,CNY,RONDE SOLO WATCH,W6701009,Q4 August 2020
10363,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/rotonde-de-cartier%E8%85%95%E8%A1%A8/hpi00639-rotonde-de-cartier%E2%80%9C%E5%9C%B0%E7%90%83%E4%B8%8E%E6%9C%88%E4%BA%AE%E2%80%9D%E8%85%95%E8%A1%A8.html,,CNY,ROTONDE,HPI00639,Q4 August 2020
10367,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/santos-de-cartier-%E8%85%95%E8%A1%A8/santos-de-cartier%E8%85%95%E8%A1%A8/wgsa0011-santos-de-cartier%E8%85%95%E8%A1%A8.html,136000,CNY,SANTOS WATCH,WGSA0011,Q4 August 2020
10373,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/tank-de-cartier-%E8%85%95%E8%A1%A8/tank-cintr%C3%A9e/whta0008-tank-cintr%C3%A9e%E8%85%95%E8%A1%A8.html,485000,CNY,TANK,WHTA0008,Q4 August 2020
10400,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/rotonde-de-cartier%E8%85%95%E8%A1%A8/hpi01102-rotonde-de-cartier%E5%8F%8C%E9%87%8D%E7%A5%9E%E7%A7%98%E9%99%80%E9%A3%9E%E8%BD%AE%E4%B8%89%E9%97%AE%E8%85%95%E8%A1%A8.html,,CNY,ROTONDE,HPI01102,Q4 August 2020
10406,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/drive-de-cartier%E8%85%95%E8%A1%A8/wsnm0008-drive-de-cartier%E6%9C%88%E7%9B%B8%E8%85%95%E8%A1%A8.html,62000,CNY,DRIVE MOON PHASES WATCH,WSNM0008,Q4 August 2020
10426,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/ballon-bleu-de-cartier-%E5%8D%A1%E5%9C%B0%E4%BA%9A%E8%93%9D%E6%B0%94%E7%90%83%E8%85%95%E8%A1%A8/wjbb0033-ballon-bleu-de-cartier%E5%8D%A1%E5%9C%B0%E4%BA%9A%E8%93%9D%E6%B0%94%E7%90%83%E8%85%95%E8%A1%A8.html,143800,CNY,BALLON BLEU WATCH,WJBB0033,Q4 August 2020
10462,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/tank-de-cartier-%E8%85%95%E8%A1%A8/cartier-tank-americaine-%E8%85%95%E8%A1%A8/wb710012-tank-am%C3%A9ricaine%E8%85%95%E8%A1%A8.html,211000,CNY,TANK,WB710012,Q4 August 2020
10466,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/santos-de-cartier-%E8%85%95%E8%A1%A8/cartier-santos-dumont-%E8%85%95%E8%A1%A8/w2sa0011-santos-dumont%E8%85%95%E8%A1%A8.html,42200,CNY,TANK,W2SA0011,Q4 August 2020
10467,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/tank-de-cartier-%E8%85%95%E8%A1%A8/cartier-tank-americaine-%E8%85%95%E8%A1%A8/wb710002-tank-am%C3%A9ricaine%E8%85%95%E8%A1%A8.html,238000,CNY,TANK,WB710002,Q4 August 2020
10537,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/ballon-bleu-de-cartier-%E5%8D%A1%E5%9C%B0%E4%BA%9A%E8%93%9D%E6%B0%94%E7%90%83%E8%85%95%E8%A1%A8/wsbb0002-ballon-bleu-de-cartier%E5%8D%A1%E5%9C%B0%E4%BA%9A%E8%93%9D%E6%B0%94%E7%90%83%E8%85%95%E8%A1%A8.html,41600,CNY,BALLON BLEU WATCH,WSBB0002,Q4 August 2020
10540,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/tank-de-cartier-%E8%85%95%E8%A1%A8/tank-louis-cartier-%E8%85%95%E8%A1%A8/w5310012-tank-louis-cartier%E8%93%9D%E5%AE%9D%E7%9F%B3%E6%B0%B4%E6%99%B6%E9%95%82%E7%A9%BA%E8%85%95%E8%A1%A8.html,387000,CNY,TANK,W5310012,Q4 August 2020
10550,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/panth%C3%A8re-de-cartier%E8%85%95%E8%A1%A8/wjpn0014-panth%C3%A8re-de-cartier%E8%85%95%E8%A1%A8.html,293000,CNY,PANTHÈRE WATCH,WJPN0014,Q4 August 2020
10601,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/cl%C3%A9-de-cartier-%E8%85%95%E8%A1%A8/wscl0005-cl%C3%A9-de-cartier%E8%85%95%E8%A1%A8.html,33200,CNY,CLÉ WATCH,WSCL0005,Q4 August 2020
10637,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/panth%C3%A8re-de-cartier%E8%85%95%E8%A1%A8/wjpn0008-panth%C3%A8re-de-cartier%E8%85%95%E8%A1%A8.html,186000,CNY,PANTHÈRE WATCH,WJPN0008,Q4 August 2020
10640,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/ballon-bleu-de-cartier-%E5%8D%A1%E5%9C%B0%E4%BA%9A%E8%93%9D%E6%B0%94%E7%90%83%E8%85%95%E8%A1%A8/we902062-ballon-bleu-de-cartier%E5%8D%A1%E5%9C%B0%E4%BA%9A%E8%93%9D%E6%B0%94%E7%90%83%E8%85%95%E8%A1%A8.html,190000,CNY,BALLON BLEU,WE902062,Q4 August 2020
10649,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/cl%C3%A9-de-cartier-%E8%85%95%E8%A1%A8/hpi00933-cl%C3%A9-de-cartier%E5%8D%A1%E5%9C%B0%E4%BA%9A%E9%92%A5%E5%8C%99%E6%B5%AE%E5%8A%A8%E5%BC%8F%E9%99%80%E9%A3%9E%E8%BD%AE%E8%85%95%E8%A1%A8%EF%BC%8C35%E6%AF%AB%E7%B1%B3%E8%A1%A8%E6%AC%BE.html,880000,CNY,CLÉ,HPI00933,Q4 August 2020
20252,https://www.cartier.jp/ja/%E5%95%86%E5%93%81%E3%82%AB%E3%83%86%E3%82%B4%E3%83%AA%E3%83%BC/%E6%99%82%E8%A8%88/%E5%85%A8%E3%81%A6%E3%81%AE%E6%99%82%E8%A8%88/%E3%83%91%E3%83%B3%E3%83%86%E3%83%BC%E3%83%AB-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81/wspn0019-%E3%83%91%E3%83%B3%E3%83%86%E3%83%BC%E3%83%AB-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81.html,418000,JPY,PANTHÈRE WATCH,WSPN0019,Q4 August 2020
20315,https://www.cartier.jp/ja/%E5%95%86%E5%93%81%E3%82%AB%E3%83%86%E3%82%B4%E3%83%AA%E3%83%BC/%E6%99%82%E8%A8%88/%E5%85%A8%E3%81%A6%E3%81%AE%E6%99%82%E8%A8%88/%E3%82%BF%E3%83%B3%E3%82%AF-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81/%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%BF%E3%83%B3%E3%82%AF-%E3%82%BD%E3%83%AD-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81/w5200004-%E3%82%BF%E3%83%B3%E3%82%AF-%E3%82%BD%E3%83%AD-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81.html,610500,JPY,TANK,W5200004,Q4 August 2020
20343,https://www.cartier.jp/ja/%E5%95%86%E5%93%81%E3%82%AB%E3%83%86%E3%82%B4%E3%83%AA%E3%83%BC/%E6%99%82%E8%A8%88/%E5%85%A8%E3%81%A6%E3%81%AE%E6%99%82%E8%A8%88/%E3%83%AD%E3%83%88%E3%83%B3%E3%83%89-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81/w1556238-%E3%83%AD%E3%83%88%E3%83%B3%E3%83%89-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%AF%E3%83%AD%E3%83%8E%E3%82%B0%E3%83%A9%E3%83%95-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81.html,2745600,JPY,ROTONDE CHRONOGRAPH WATCH,W1556238,Q4 August 2020
20362,https://www.cartier.jp/ja/%E5%95%86%E5%93%81%E3%82%AB%E3%83%86%E3%82%B4%E3%83%AA%E3%83%BC/%E6%99%82%E8%A8%88/%E5%85%A8%E3%81%A6%E3%81%AE%E6%99%82%E8%A8%88/%E3%82%BF%E3%83%B3%E3%82%AF-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81/%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%BF%E3%83%B3%E3%82%AF-%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81/w2607456-%E3%82%BF%E3%83%B3%E3%82%AF-%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81.html,1188000,JPY,TANK,W2607456,Q4 August 2020
20370,https://www.cartier.jp/ja/%E5%95%86%E5%93%81%E3%82%AB%E3%83%86%E3%82%B4%E3%83%AA%E3%83%BC/%E6%99%82%E8%A8%88/%E5%85%A8%E3%81%A6%E3%81%AE%E6%99%82%E8%A8%88/%E3%83%AD%E3%83%88%E3%83%B3%E3%83%89-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81/w1556251-%E3%83%AD%E3%83%88%E3%83%B3%E3%83%89-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89-%E3%82%B3%E3%83%B3%E3%83%97%E3%83%AA%E3%82%B1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3-%E3%82%B9%E3%82%B1%E3%83%AB%E3%83%88%E3%83%B3-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81.html,,JPY,TANK,W1556251,Q4 August 2020
20378,https://www.cartier.jp/ja/%E5%95%86%E5%93%81%E3%82%AB%E3%83%86%E3%82%B4%E3%83%AA%E3%83%BC/%E6%99%82%E8%A8%88/%E5%85%A8%E3%81%A6%E3%81%AE%E6%99%82%E8%A8%88/%E3%83%90%E3%83%AD%E3%83%B3-%E3%83%96%E3%83%AB%E3%83%BC-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81/w6920087-%E3%83%90%E3%83%AD%E3%83%B3-%E3%83%96%E3%83%AB%E3%83%BC-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81.html,577500,JPY,BALLON BLEU,W6920087,Q4 August 2020
20382,https://www.cartier.jp/ja/%E5%95%86%E5%93%81%E3%82%AB%E3%83%86%E3%82%B4%E3%83%AA%E3%83%BC/%E6%99%82%E8%A8%88/%E5%85%A8%E3%81%A6%E3%81%AE%E6%99%82%E8%A8%88/%E3%82%B5%E3%83%B3%E3%83%88%E3%82%B9-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81/%E3%82%B5%E3%83%B3%E3%83%88%E3%82%B9-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8/wjsa0012-%E3%82%B5%E3%83%B3%E3%83%88%E3%82%B9-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81.html,3194400,JPY,SANTOS WATCH,WJSA0012,Q4 August 2020
20387,https://www.cartier.jp/ja/%E5%95%86%E5%93%81%E3%82%AB%E3%83%86%E3%82%B4%E3%83%AA%E3%83%BC/%E6%99%82%E8%A8%88/%E5%85%A8%E3%81%A6%E3%81%AE%E6%99%82%E8%A8%88/%E3%83%90%E3%83%AD%E3%83%B3-%E3%83%96%E3%83%AB%E3%83%BC-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81/w69012z4-%E3%83%90%E3%83%AD%E3%83%B3-%E3%83%96%E3%83%AB%E3%83%BC-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81.html,759000,JPY,BALLON BLEU WATCH,W69012Z4,Q4 August 2020
20388,https://www.cartier.jp/ja/%E5%95%86%E5%93%81%E3%82%AB%E3%83%86%E3%82%B4%E3%83%AA%E3%83%BC/%E6%99%82%E8%A8%88/%E5%85%A8%E3%81%A6%E3%81%AE%E6%99%82%E8%A8%88/%E3%83%89%E3%83%A9%E3%82%A4%E3%83%96-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81/wgnm0011-%E3%83%89%E3%83%A9%E3%82%A4%E3%83%96-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81.html,1676400,JPY,DRIVE WATCH,WGNM0011,Q4 August 2020
20393,https://www.cartier.jp/ja/%E5%95%86%E5%93%81%E3%82%AB%E3%83%86%E3%82%B4%E3%83%AA%E3%83%BC/%E6%99%82%E8%A8%88/%E5%85%A8%E3%81%A6%E3%81%AE%E6%99%82%E8%A8%88/%E3%82%B5%E3%83%B3%E3%83%88%E3%82%B9-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81/%E3%82%B5%E3%83%B3%E3%83%88%E3%82%B9-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8/whsa0016-%E3%82%B5%E3%83%B3%E3%83%88%E3%82%B9-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81.html,7128000,JPY,SANTOS WATCH,WHSA0016,Q4 August 2020
20404,https://www.cartier.jp/ja/%E5%95%86%E5%93%81%E3%82%AB%E3%83%86%E3%82%B4%E3%83%AA%E3%83%BC/%E6%99%82%E8%A8%88/%E5%85%A8%E3%81%A6%E3%81%AE%E6%99%82%E8%A8%88/%E3%83%90%E3%83%AD%E3%83%B3-%E3%83%96%E3%83%AB%E3%83%BC-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81/we902073-%E3%83%90%E3%83%AD%E3%83%B3-%E3%83%96%E3%83%AB%E3%83%BC-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81-28mm.html,704000,JPY,BALLON BLEU WATCH,WE902073,Q4 August 2020
20412,https://www.cartier.jp/ja/%E5%95%86%E5%93%81%E3%82%AB%E3%83%86%E3%82%B4%E3%83%AA%E3%83%BC/%E6%99%82%E8%A8%88/%E5%85%A8%E3%81%A6%E3%81%AE%E6%99%82%E8%A8%88/%E3%82%BF%E3%83%B3%E3%82%AF-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81/%E3%82%BF%E3%83%B3%E3%82%AF-%E3%83%AB%E3%82%A4-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8/wjta0020-%E3%82%BF%E3%83%B3%E3%82%AF-%E3%83%AB%E3%82%A4-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81.html,3498000,JPY,TANK,WJTA0020,Q4 August 2020
20425,https://www.cartier.jp/ja/%E5%95%86%E5%93%81%E3%82%AB%E3%83%86%E3%82%B4%E3%83%AA%E3%83%BC/%E6%99%82%E8%A8%88/%E5%85%A8%E3%81%A6%E3%81%AE%E6%99%82%E8%A8%88/%E3%83%AD%E3%83%88%E3%83%B3%E3%83%89-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81/w1556210-%E3%83%AD%E3%83%88%E3%83%B3%E3%83%89-%E3%83%89%E3%82%A5-%E3%82%AB%E3%83%AB%E3%83%86%E3%82%A3%E3%82%A8-%E3%83%80%E3%83%96%E3%83%AB-%E3%83%88%E3%82%A5%E3%83%BC%E3%83%AB%E3%83%93%E3%83%A8%E3%83%B3-%E3%83%9F%E3%82%B9%E3%83%86%E3%83%AA%E3%83%BC-%E3%82%A6%E3%82%A9%E3%83%83%E3%83%81.html,19668000,JPY,ROTONDE,W1556210,Q4 August 2020
